address,symbol,name,decimals
0x6a609a08c6a3b46581145b8aab09aca56e823741,BEER,BeerToken,4
0x3dde6b0ca1531681e58db8734b730ef871f93c1a,RSQ,ResQCoin,6
0x1ad7a8f4e30e91f45c5d8a742c805492e220990e,TNC,Tangle,7
0xb357f498efcac29bcbc2286aa13ea822456d2c41,Bitc中比特,Bitc,8
0xe49b7e5cf4da520b7ff5f22f1cfa700f66f7de9c,XBRC,BARTER COIN,8
0x6940c3a2f57b2867d18f2a160b5736cbc172f0de,SCO♏,Scorpius_ZodiacToken,8
0x0dba7cecd045477f030bd7b738e5c307f6a162e5,CEC,CommErcial Contract,8
0x536381a8628dbcc8c70ac9a30a7258442eab4c92,PAN,Pantos Token,8
0x502b432614cb631bf9443de54b6a3920f6032f61,KRG,KrugerrandToken,10
0x1fde33d8a39837f8108d45ace6590ad9566ab405,,,18
0x579a36e3ee65cd3b15bffcafa8d155d3aecd7bc1,AKST,Akasha Token,18
0x860306076f5937b99e2e1d83fb6358592951e06a,RAS,RASMART,18
0x7811d763ac2b1437b0a9be32ddfa75d93c061449,⚡️,PREVIG,18
0x01fa17a1b38a6335b7ad2307db6bef309d2ba981,CEX,CEX.Finance,18
0x3036da76624005ca6a43a4262b088f5f44cd4b42,FNM,Finnance_MM,18
0x6c3acfa38f59a1320c4467abc3d5c6ba7f1381cc,CHO,Glucose currency,18
0x255572964432f9cb677b67f42c4a5b51247c483a,AR,Arweave,18
0x4ac0c13d7202e4a4dbbd09dbf2c611a87e8fd483,XDXX,XDXX token,18
0xf7c25be4409d64ce2b75d060d114740e7afd734e,OMG,OmiseGO,18
0xcdc76205bbd9d80faff86b0847e89b7b6c5e2767,CRM,Carismacoin Coin,18
0xc4611e19792a78164282ef35d00a93d50174a56e,BLX,BLX,18
0x92022da0ff058da109f6ea5535962e1f51dfdb83,SirenFi,Siren,18
0x4bffc9b4d4dcf730820a2edcad48ff5d7e0ae807,INC,Influence Chain Token,18
0xff0cca1818ddc0d66b53a96a9aa8bda9043e1437,yLink,Yearn Link,18
0xa0f1981414cedbd6d756a05c5483d0b1a40cc850,ML,MULI,18
0x69addb19659da7d3c2d30c1831016922a18dcbb0,PTMS,Play the magic square,18
0x485c07a35382275c9debabec007d930aebdadfed,UIDF,UNION INTERNATIONAL DIGITAL FORESTRY ,18
0x39422f932c307ab6df5aef5eb0952929827fc760,EGJ,EgjamCoin,18
0x22f2927ef2db8afb3c1f286dff694a12039b7dd9,ref,Coin,18
0xc5005344d52758ee2264be257a198b50f884711b,ILT,illume,18
0x8672b2f958d8f83e488530b738c20accf8d1c785,WHR,White Rabbit,18
0xfb838ae5980c8d3beb3f8df6e0232aad4a1f5a17,LOT,LotteryToken,18
0x634cf64b22c2915fa13adfd2447c0ae0953b9212,WITHART,The Withers Art Project,
0xffcbd7ad16ae1ec37acc45aaaa2b39275eef3ad2,KOHLI,Virat Kohli,
0x8a63ec73ca87f6a8c60e6660c4c45df176e4248c,CS,CryptoSport,
0x5b481ae02defe75146603bd3ab1f290b2c96a3c8,,,0
0xa76400753d80997203c6b20bd003c2474110cfcb,@sammokablamo,Dragon Pup,0
0xb39b21b225ff3b18f1edd78a3dac7e087e30388e,CLVRRR,Cloverrr,0
0x4f17c60497b11a2b7c4843be1019d5a8f0d51413,DKC,DonkeyCoin,0
0x5299cbcaf837253a41f57078897feda12f912f80,GOT,TheJoke,0
0x197d6a38229071737d89c4f9235456426f31dded,ATRA,Atra,0
0x7b11fef11031d47b2e9d28b2cf9e513a4c53273b,XFT,FuckTrump,2
0x931989ec04be1c785f522251a5443f9d88ec1eac,TRD,Turkish Dollar,2
0xe841176f632a3862e14255fa2fb97f767ae1dd1a,LUCK,Good Luck,2
0x45347b8a621baf917fa10854b0bb5a951668b906,TEMP,Temple Theory Token,3
0x9686acfdb82b19800c5c481c1d2c99e8545766dd,JTC,JMToken,4
0xd3bc5bf7021d04a2972c4f2389b14644e0181f4a,🐍生肖蛇🐍,🐍生肖蛇🐍,4
0xcae3e3ba39492eeecb368902df8e39523fe9f304,ARS,Aurus,6
0x4ed8ff614be742ef7028d2ae882abbdedaa7ff28,EN.cx,Bouygues,8
0x065d6fccf3bcc50e37e875479511f5ca656b98d8,B42,Bitcoin42 Token,8
0xfee6fd16f8ca451b7a5624579d886d5934b2702e,AEO,Assist Each Other,8
0xbe941b57cded74c0c0fc16e415992a7505c01bae,ROL,DICE,16
0x8c749759d92fc271b5d23e954c26be7abe95a96c,,,18
0x07ee5efa2ba87555d5f055a5afa317e0630d1ab5,PLNS,PLENUS,18
0xde92512eca7ee1211f0a18de4c9a3dc36ea8da05,KND,KriptoNeed,18
0xf0d6bef54654bd8df4c00abd57c52fbbc905c31b,LMTC,love and medical care transmit chain,18
0x8dd16640bf4705bbf9a5bdbbe3b521b17477fd30,4IR,4IRE labs,18
0x0fac98902b1ba4faf3424d19137ffb464ced802a,WCT1,WePower Contribution Token 1,18
0x96905b0585a6dd8d79d20eaf7af93695e841c836,YFIU,YFIU,18
0xa50cc05507477d747a8d699b27a0ed3ccf1eb40a,WOL,Wolumen,18
0xaa56473ae0ee2192635212379990ca6faf4b267d,ADA,ADA,18
0x18b2a2316747c8d42b591245cf46cb289f914f2e,WD,WANGDD,18
0x28b1628da1c415623d00607b29eb84f0e7cb75c3,CMK,CRIMSON KITTLES,18
0xaa6296f88c3fb16881750e7166240cd9c82e8172,BLP,Blackperle,18
0x72f1be49282c02893b5694b6556d6dce77702302,B1C,Bit and Coin Token,18
0x090735a5f68309872a74e1f8eee68242bb30f479,BTCB,Bitcoinbits,18
0xe9ec7607bdf491cf403894e5219ae99f4645d2bc,FSN,FusionToken,18
0x5a32f7d1c06d3a902fe47e56d416aad661f577fb,BIG,BI Golden,18
0x6431f754c34c6bf41bf1556100b3ba3dd264a44c,W07B,WorldCup2018 07 Denmark,18
0x08b971a9a35052236e424ab5e47fabf00948748b,eads,exads,18
0x400d1d40567ef813c53c716b12f049cc10d38538,ETLC,ethereumleaguechain,18
0x186b92897624438ba462da85a830378ab55b189e,CHIH,Chihuahua,18
0x283318860ce2654d4b5de61afa1e1cee8d39e902,WCXT,WCXT TOKEN,18
0xc9109d98bf3d9af7b0e8c7dea3c8001cb00c08ef,YDE,YDE,18
0x6567b632fcc3eb3cebd59c1e02d7ebb77cfaa5c3,INV,InvisiCoin,18
0xfdd138f4e94fdf08adfcacda82ecfb996502b5e1,INV,InvisiCoin,18
0xcf982cdc94754ed01ea85c04fbcb88dc2b7c205a,INV,InvisiCoin,18
0xc75d6510320af9579237050312ec5222ec348733,VPP,virtue.poker,18
0x1efb021b1ca2f004c83f9e9919e2690f9b46e9d0,JUMP,Jumpwav,18
0x7093c3e904720e1fd031fd48aeb424bd2c5c6bfc,GHC,GHANACOI,18
0xf807c736ddee15510ab4c14d659d43cc459206a3,BW,BW,18
0x4481b401ffecf769386faeabad6c088274c8e350,DTEX,Dealtex,18
0xc334ccc88913b11b5ab87f3f41a7e8cdaa587f4b,RB,RB Token,18
0x6cbf34cba6c1388fdf31e50ee408b1d2b0653499,AGIC,AGI Smart Coin,18
0x66186008c1050627f979d464eabb258860563dbe,MDS,MediShares Token,18
0xcac674b7ad493f0f29530000cd23da5ba75e09d1,SHIBAE,Shibae Coin,18
0xf01caf13c7b65168f194786352828ccf9aaab113,RIX,RIX Token,18
0x7ee88f71d2e7d3fbf49593bbc5839c524895f259,,,
0xf190f2930ca8d7fd6f4bb82b76b726aaba9d7d4f,DFINC,DeFiner Contract,
0x214b9a988adb43565984782fa97ed6e7881c64f2,,,
0xfb327d0bf4b44bbc44e0b6a173c0401f20fa18b3,,,0
0x6abde1933695bddcb931e8cdd16d4255cfa69246,MAR,Maryanto,0
0x78e8f1210cd0930e16397fe119a2c81a6f9fb45c,MLGB,Massive Linked Grid Basic,0
0xd5f780f0c72266bcbb6261e832214ec239d01dd4,U91,U91,2
0x67515a791026d3898ab705589d010daf05b15b82,CNM,CNM,2
0xd15f47fb5aa0d4fd0d49497de87cefe49c1f6f82,CRX,Carblox Token,3
