transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,block_timestamp,block_number,block_hash,trace_id
0x1a13fc0cae0948319012a3925eeb96a0ab4093221fe66d3921f749c70b47f297,26,0x85d0a2b3f9600b353de0313155da95f46ad59248,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,4,0",,1,1/16/2020 22:42:40,9294962,0xfa22164d2c307c35c80ebdfb43afb49e632b1be8b1818729764ec44f4e95a7ce,suicide_0x1a13fc0cae0948319012a3925eeb96a0ab4093221fe66d3921f749c70b47f297_0_0_4_0
0x4270ea6aaf424485dc47974ed66c975886ea02bda981ba248c07ebec47104eb9,144,0xddaf93241dfabe40e3d5486a9009944d22935271,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,5,0",,1,1/16/2020 9:10:39,9291306,0xef301a8e1f5a71c53c0424460b3fa3b84b0ffebf99c24e5e632475184e07eaa9,suicide_0x4270ea6aaf424485dc47974ed66c975886ea02bda981ba248c07ebec47104eb9_0_0_5_0
0x3b257f1069eb65be03a7faf8adf401a0ad32cbee8e65c0048ef03818736a5c3b,1,0x4796fe3476f21c270097128fe86c805997a443e9,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,7,0,8,0",,1,1/16/2020 22:19:33,9294848,0x71031712476e57899595a1fbdd4e74866a41b02c8e7999f0693869981e9b5b71,suicide_0x3b257f1069eb65be03a7faf8adf401a0ad32cbee8e65c0048ef03818736a5c3b_0_0_7_0_8_0
0x603d89d2bcd5ddbbcbd08229ef00e35687159a65ef3c01f69192d0097f78b11d,4,0x85001d25696b933ac5526e9e5f92133e3e146b62,0x00000000a8f806c754549943b6550a2594c9a126,0,,,suicide,,,,,0,"0,1,0",,1,1/16/2020 5:51:03,9290399,0x7d9c1b8a726c001fccb97b8898bd60e13fa58b0351cd436093c26178b6434f1e,suicide_0x603d89d2bcd5ddbbcbd08229ef00e35687159a65ef3c01f69192d0097f78b11d_0_1_0
0x1d1cbd0f8a64911806f489b37bb3da35ee2cbdd5a7e94ee941c3d6ee26ce47a2,67,0xca4db363073da082969ff2c964934a706891ddb7,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,19,0",,1,1/16/2020 10:18:10,9291617,0xe5e299bb7d99a2aed635ae1c845e1dda082da08ebcab63ab5e1d00b259b409b3,suicide_0x1d1cbd0f8a64911806f489b37bb3da35ee2cbdd5a7e94ee941c3d6ee26ce47a2_2_19_0
0xb1f3d4f0fc567f6c2c8c3a1cbd16ad928f4a53aab242377198c21d329dd81944,11,0xc602c39a10f25eebd27d1946280f9bae9a7f6a41,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,1,0",,1,1/16/2020 23:57:53,9295311,0x3f6121087f996acc6b9a85b320ceb3986abb0a25cd688e7264c2353d6b05c6f8,suicide_0xb1f3d4f0fc567f6c2c8c3a1cbd16ad928f4a53aab242377198c21d329dd81944_0_0_1_0
0x10426635bd3c578f0c2094c70b9700faf778e33bc326d4e2e49a82470a13d055,5,0x867ab2ac63a63d8d005050c726d45de5155e510c,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"1,5,0",,1,1/16/2020 22:32:12,9294917,0x1de38371c52b00b894c02ef85fc226d6bd8fdeeca3952bd9c1742c6060f67a1b,suicide_0x10426635bd3c578f0c2094c70b9700faf778e33bc326d4e2e49a82470a13d055_1_5_0
0x625ad3560d20640fd33f49f9a36935ad5519d8394b4d9caa60497af57ad32b19,45,0xbcea57f24868373ad18980e8fb50d0b92cdc92a9,0x0000000000c90bc353314b6911180ed7e06019a9,0,,,suicide,,,,,0,"4,0",,1,1/16/2020 15:53:48,9293106,0xdb51ff4e9c0de77e3c5c320f306206a83e720e8e2b76d6f4bdb19658ef61fdb7,suicide_0x625ad3560d20640fd33f49f9a36935ad5519d8394b4d9caa60497af57ad32b19_4_0
0x6347330b295ce00e7dee9634e9cdd15ed6ad576d82f01d7346300423802f0bbd,28,0x929e3b6e4fe309c8ab80f769524657a1965d166d,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,15,0",,1,1/16/2020 14:04:21,9292626,0x41cc1493648c5f4fa9e150fb775deb9120e24df4d2c79399beb3a7149f87501f,suicide_0x6347330b295ce00e7dee9634e9cdd15ed6ad576d82f01d7346300423802f0bbd_2_15_0
0x7ac49a966e5599d402cd56cd6f538817330bfc4ff5c84d4a88cdf7b62727cea1,12,0x0502f8e888f4d27c0f0fc972b78a67d8abdb79e7,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,3,0",,1,1/16/2020 18:22:21,9293788,0x3bb2ff0157fddae4b793ef925cd161d73b4b624620435849b5327303fcbb94de,suicide_0x7ac49a966e5599d402cd56cd6f538817330bfc4ff5c84d4a88cdf7b62727cea1_2_3_0
