address,symbol,name,decimals,total_supply,block_timestamp,block_number,block_hash
0x93b94b02e4ff3e5dc6310664d621a5a90afb657f,Sheepy,Wheeshy Sheepy,,0,1/24/2022 22:58:16,14071155,0x3281fff5ebb69e9e289f18be200745281edd2c33572d16d12922b0aa04d4e16e
0xe67d9fc2a2c7c46370fd31252e47bd547ace6219,,,,0,8/3/2018 13:22:09,6080961,0xf94e5878638215b1b4eb41c1b831069668cb1e179b43c4c55cb022352c036e63
0xad77b165b7e4e3e227f4024bd0e19f79cb91db79,FAB,Fabrica Land,,0,2/28/2019 19:30:22,7279942,0xf0aba9131c710654d7ec046d8d15cd62bc943cd8a92517b4593ba116d8ef66d0
0xc7af9ca52681657c4602db6500c871e25466c336,,,,0,10/18/2018 19:43:52,6539896,0xdceccf4bc2604e59964e28d9421a412f486ca6d1a88ffb54e5ff2dbcff3e77d6
0x083a27e2c44412954330ade5ded41e546c398db2,EMOND,EtheremonAdventure,,0,7/29/2018 8:35:05,6050255,0xe2160f01ce3e3f9695eba4134983af3a819953fa8214b6b7b95723b6b8331cab
0x854d4c84be7b40eeb1bd5ca74826c90dc5bc7b78,AC,Anon Chibi,,0,4/3/2022 10:45:02,14512705,0xa89858ddf91c855e7bbbdb896a5b695b1d318e95da8dd97197b38df0ac705f98
0xf1c16195109c0ebc1fef2e6287566c721cc59a2e,CA,CriptoAnimal,,0,12/15/2022 4:04:11,16187591,0x4f0bfd7abbfae19b279e28c658111edb3238d499cdeb50fd8b4035ff8cbc715f
0xf1c0d3abd125f72fe90c25029c16c6a7c3c8d271,SPT,Promoblock,,0,11/12/2018 22:46:43,6693364,0x522291aad7bd0e3c497946a06820cbe79ef9887c2dc14a36134ae25f6db041d8
0x9c5d705f106582e003db05ad889a12f76b7a1b96,blockv.vodafone::FindUnlimited2019,blockv.vodafone::iTunesGiftCard::v1::GBP10::v1,,0,9/23/2019 15:54:15,8606349,0x206e1584c6ffa852f2586d5cd44a20ac4923b8317c0bff1809a263671d2ebfc6
0x47197989185f78c313eba5a2d2a3fba3e8931a4b,DISTANTDREAMERSBYSHORSH,Mind Oasis,,0,7/11/2022 13:42:40,15121645,0x1100ec8503f070643d5ec7648cb3e3cb10338266770e9f3207ebe692ce134532
0x7ea377e57506d48d6b5b8c7c39615db57f8db81a,ivi,ivie,,0,12/1/2022 23:55:35,16093374,0x0e8fd07aac40b873768e74434cdbeb3708c5f3c58cf38432e0a321c97a94b4c5
